-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                        SessionName                                                        |                                                      SessionAbstract                                                      |      SessionL       |                                                          Summary                                                          |                                                           Goals                                                           |  R  |                                                      Elevator pitch                                                       |
|                                                                                                                           | data analysis currently on the market. We have all the components                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | we need to do a comprehensive analysis of just about any data,                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | visualise it in a simple, effective way and explain to the business                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | what needs to be done.                                                                                                    |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Then - crickets.                                                                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Taking the step from data, analysis and visuals to action tends to be                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | extremely challenging. We have all the information, but how do we                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | turn information into actionble insights?                                                                                 |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | The solution is to make the data matter to our audience, and in order                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | to do that, we need to make them see what is relevant to them, forge                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | an emotional connection to the information and why it matters to                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | them, and be able to present this information in a clear, concise way.                                                    |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | This session will give you five tips to help you make data matter to                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | your audience and ensure that the information turns into action.                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Fabric FinOps - Cost Optimization for Microsoft Fabric                                                                    | A software-as-a-service offering such as Microsoft Fabric offers a                                                        |                   0 |                                                                                                                           | Partly to understand the nuances of cost not only being a technical                                                       |   0 |                                                                                                                           |
|                                                                                                                           | fixed cost per month, making budgeting much easier. That should be                                                        |                     |                                                                                                                           | matter, but also that there are several ways to skin a cat, as the                                                        |     |                                                                                                                           |
|                                                                                                                           |  the end of the conversation, but it's actually only the beginning - how                                                  |                     |                                                                                                                           | saying goes. Fabric can do just about anything, and just like SQL it                                                      |     |                                                                                                                           |
|                                                                                                                           | do you make the most of the capacity units you get with the fixed                                                         |                     |                                                                                                                           | will probably run - but will it run efficiently?                                                                          |     |                                                                                                                           |
|                                                                                                                           | price? How can you ensure that you are getting the most out of your                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | monthly investment? The different Fabric workloads all have different                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  ways of using capacity units - some are cost CUs per minute of                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | runtime, some cost per query, some are straight forward to calculate,                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  some are not.                                                                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Take dataflows gen 2 an an example - by far the most expensive                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | way of doing data integration compared to pipelines or copy jobs,                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | but what does "expensive" mean in the grand scheme of things?                                                             |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Depending on your organization's previous experience and skill                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | level, dataflows might instead end up being the cheapest option!                                                          |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | There is much more to optimizing the bang for your buck with Fabric                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | than only looking at the relative costs of capacity units, as it is easy                                                  |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | to get lost in the technology instead of looking at the big picture.                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | This session will look at capacity units as a concept, compare how                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | the different workloads drive capacity unit usage, explore ways to                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | optimize workload usage to decrease compute costs, and discuss                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | other factors that impact the overall cost conversation around Fabric.                                                    |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| From SQL to Spark and Back Again - Spark and Python for SQL                                                               | SQL and SQL Server have been the bedrock of analytics for                                                                 |                   0 |                                                                                                                           | Learn about the similarities and dissimilarities between SQL and                                                          |   0 |                                                                                                                           |
| Users                                                                                                                     | decades. With the advent of the cloud in general, lakehouse                                                               |                     |                                                                                                                           | Python, and while we're at it, look at where they complement each                                                         |     |                                                                                                                           |
|                                                                                                                           | architectures in particular, Spark and Python has had a meteoric rise                                                     |                     |                                                                                                                           | other and where you're better off with either.                                                                            |     |                                                                                                                           |
|                                                                                                                           |  in popularity due to its flexibility and capability of tackling the                                                      |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | parallism problem in a way that has been the Achilles heel of classic                                                     |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  SQL Server.                                                                                                              |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | Spark is one of the fundamental workloads in Microsoft Fabric and                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | offers a (potentially) low cost/high performance solution on demand                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | for complex workloads. But how does it differ from SQL Server? Can                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | you just convert SQL code to Python and spin up your Spark cluster?                                                       |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  Short answer: maybe, but you really shouldn't. Let me show you a                                                         |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | better way!                                                                                                               |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |                                                                                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | In this session, we will look at fundamental differences in how code is                                                   |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           |  executed and how the underlying architectures differ, explore                                                            |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | differences and similarities between Python and SQL, and dive into                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | PySQL and when and why there might be a reason (or not!) to use                                                           |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
|                                                                                                                           | PySQL over Python.                                                                                                        |                     |                                                                                                                           |                                                                                                                           |     |                                                                                                                           |
